STATE,YEAR,GDP_VALUE
ANDAMAN AND NICOBAR ISLANDS,1996,21017
ANDHRA PRADESH,1996,11202
ARUNACHAL PRADESH,1996,10816
ASSAM,1996,7394
BIHAR,1996,4001
CHANDIGARH,1996,31158
CHHATTISGARH,1996,8353
DELHI,1996,25952
GOA,1996,26418
GUJARAT,1996,16153
HARYANA,1996,16611
HIMACHAL PRADESH,1996,11960
JAMMU AND KASHMIR,1996,8667
JHARKHAND,1996,7235
KARNATAKA,1996,11202
KERALA,1996,13280
MADHYA PRADESH,1996,8819
MAHARASHTRA,1996,17844
MANIPUR,1996,7920
MEGHALAYA,1996,9243
MIZORAM,1996,12210
NAGALAND,1996,11805
ODISHA,1996,6548
PUDUCHERRY,1996,18631
PUNJAB,1996,17353
RAJASTHAN,1996,10102
SIKKIM,1996,11332
TAMIL NADU,1996,11670
TELANGANA,1996,13269
TRIPURA,1996,8109
UTTAR PRADESH,1996,7476
UTTARAKHAND,1996,9334
WEST BENGAL,1996,9857
ANDAMAN AND NICOBAR ISLANDS,2000,25047
ANDHRA PRADESH,2000,17195
ARUNACHAL PRADESH,2000,15260
ASSAM,2000,12803
BIHAR,2000,6415
CHANDIGARH,2000,49771
CHHATTISGARH,2000,10744
DELHI,2000,40678
GOA,2000,43735
GUJARAT,2000,18392
HARYANA,2000,25583
HIMACHAL PRADESH,2000,22795
JAMMU AND KASHMIR,2000,14268
JHARKHAND,2000,10345
KARNATAKA,2000,17195
KERALA,2000,20094
MADHYA PRADESH,2000,11862
MAHARASHTRA,2000,22777
MANIPUR,2000,12369
MEGHALAYA,2000,15657
MIZORAM,2000,17826
NAGALAND,2000,16253
ODISHA,2000,10453
PUDUCHERRY,2000,35994
PUNJAB,2000,27881
RAJASTHAN,2000,13020
SIKKIM,2000,16077
TAMIL NADU,2000,18344
TELANGANA,2000,20972
TRIPURA,2000,15983
UTTAR PRADESH,2000,9828
UTTARAKHAND,2000,15285
WEST BENGAL,2000,16583
ANDAMAN AND NICOBAR ISLANDS,2005,44754
ANDHRA PRADESH,2005,28223
ARUNACHAL PRADESH,2005,28171
ASSAM,2005,18396
BIHAR,2005,8223
CHANDIGARH,2005,84993
CHHATTISGARH,2005,20117
DELHI,2005,72208
GOA,2005,84721
GUJARAT,2005,37780
HARYANA,2005,42309
HIMACHAL PRADESH,2005,36949
JAMMU AND KASHMIR,2005,23240
JHARKHAND,2005,18326
KARNATAKA,2005,28987
KERALA,2005,36958
MADHYA PRADESH,2005,16631
MAHARASHTRA,2005,41965
MANIPUR,2005,20251
MEGHALAYA,2005,24885
MIZORAM,2005,26698
NAGALAND,2005,33792
ODISHA,2005,18846
PUDUCHERRY,2005,67205
PUNJAB,2005,36199
RAJASTHAN,2005,20275
SIKKIM,2005,30252
TAMIL NADU,2005,31239
TELANGANA,2005,35243
TRIPURA,2005,26668
UTTAR PRADESH,2005,14221
UTTARAKHAND,2005,29441
WEST BENGAL,2005,24720
ANDAMAN AND NICOBAR ISLANDS,2010,80558
ANDHRA PRADESH,2010,58733
ARUNACHAL PRADESH,2010,60961
ASSAM,2010,33087
BIHAR,2010,19111
CHANDIGARH,2010,126651
CHHATTISGARH,2010,41165
DELHI,2010,145129
GOA,2010,168024
GUJARAT,2010,77485
HARYANA,2010,93852
HIMACHAL PRADESH,2010,68297
JAMMU AND KASHMIR,2010,40089
JHARKHAND,2010,34721
KARNATAKA,2010,66951
KERALA,2010,69943
MADHYA PRADESH,2010,32453
MAHARASHTRA,2010,84858
MANIPUR,2010,28336
MEGHALAYA,2010,43766
MIZORAM,2010,50956
NAGALAND,2010,55582
ODISHA,2010,39537
PUDUCHERRY,2010,101072
PUNJAB,2010,69582
RAJASTHAN,2010,44644
SIKKIM,2010,108972
TAMIL NADU,2010,62251
TELANGANA,2010,78473
TRIPURA,2010,46050
UTTAR PRADESH,2010,26698
UTTARAKHAND,2010,73819
WEST BENGAL,2010,47245
ANDAMAN AND NICOBAR ISLANDS,2011,88177
ANDHRA PRADESH,2011,69000
ARUNACHAL PRADESH,2011,73068
ASSAM,2011,41142
BIHAR,2011,21750
CHANDIGARH,2011,159116
CHHATTISGARH,2011,55177
DELHI,2011,229619
GOA,2011,259444
GUJARAT,2011,87481
HARYANA,2011,106085
HIMACHAL PRADESH,2011,87721
JAMMU AND KASHMIR,2011,53173
JHARKHAND,2011,41254
KARNATAKA,2011,90269
KERALA,2011,97912
MADHYA PRADESH,2011,38551
MAHARASHTRA,2011,99564
MANIPUR,2011,39762
MEGHALAYA,2011,60013
MIZORAM,2011,57654
NAGALAND,2011,53010
ODISHA,2011,48370
PUDUCHERRY,2011,119649
PUNJAB,2011,85577
RAJASTHAN,2011,57192
SIKKIM,2011,158667
TAMIL NADU,2011,91121
TELANGANA,2011,92984
TRIPURA,2011,47079
UTTAR PRADESH,2011,32002
UTTARAKHAND,2011,100305
WEST BENGAL,2011,51543
ANDAMAN AND NICOBAR ISLANDS,2012,96027
ANDHRA PRADESH,2012,74687
ARUNACHAL PRADESH,2012,81353
ASSAM,2012,44599
BIHAR,2012,24487
CHANDIGARH,2012,180624
CHHATTISGARH,2012,60849
DELHI,2012,249589
GOA,2012,234354
GUJARAT,2012,102826
HARYANA,2012,121169
HIMACHAL PRADESH,2012,99730
JAMMU AND KASHMIR,2012,56828
JHARKHAND,2012,47360
KARNATAKA,2012,102314
KERALA,2012,110314
MADHYA PRADESH,2012,44931
MAHARASHTRA,2012,111980
MANIPUR,2012,41230
MEGHALAYA,2012,64036
MIZORAM,2012,65013
NAGALAND,2012,61225
ODISHA,2012,54703
PUDUCHERRY,2012,130548
PUNJAB,2012,94318
RAJASTHAN,2012,63658
SIKKIM,2012,174183
TAMIL NADU,2012,101007
TELANGANA,2012,104943
TRIPURA,2012,52434
UTTAR PRADESH,2012,35812
UTTARAKHAND,2012,113610
WEST BENGAL,2012,58195
ANDAMAN AND NICOBAR ISLANDS,2013,106401
ANDHRA PRADESH,2013,82870
ARUNACHAL PRADESH,2013,91809
ASSAM,2013,49734
BIHAR,2013,26948
CHANDIGARH,2013,204542
CHHATTISGARH,2013,69880
DELHI,2013,273301
GOA,2013,215776
GUJARAT,2013,113139
HARYANA,2013,137770
HIMACHAL PRADESH,2013,114095
JAMMU AND KASHMIR,2013,61108
JHARKHAND,2013,50006
KARNATAKA,2013,118829
KERALA,2013,123321
MADHYA PRADESH,2013,52169
MAHARASHTRA,2013,125035
MANIPUR,2013,47798
MEGHALAYA,2013,65118
MIZORAM,2013,77583
NAGALAND,2013,71510
ODISHA,2013,60574
PUDUCHERRY,2013,148147
PUNJAB,2013,103381
RAJASTHAN,2013,69480
SIKKIM,2013,194624
TAMIL NADU,2013,112162
TELANGANA,2013,116236
TRIPURA,2013,61570
UTTAR PRADESH,2013,40124
UTTARAKHAND,2013,126247
WEST BENGAL,2013,65932
ANDAMAN AND NICOBAR ISLANDS,2014,119291
ANDHRA PRADESH,2014,93903
ARUNACHAL PRADESH,2014,110929
ASSAM,2014,52895
BIHAR,2014,28671
CHANDIGARH,2014,212786
CHHATTISGARH,2014,72936
DELHI,2014,298832
GOA,2014,289185
GUJARAT,2014,127017
HARYANA,2014,147382
HIMACHAL PRADESH,2014,123299
JAMMU AND KASHMIR,2014,61211
JHARKHAND,2014,57301
KARNATAKA,2014,130024
KERALA,2014,135517
MADHYA PRADESH,2014,56069
MAHARASHTRA,2014,132476
MANIPUR,2014,52717
MEGHALAYA,2014,64638
MIZORAM,2014,103049
NAGALAND,2014,78367
ODISHA,2014,63169
PUDUCHERRY,2014,146921
PUNJAB,2014,108970
RAJASTHAN,2014,76429
SIKKIM,2014,214148
TAMIL NADU,2014,124104
TELANGANA,2014,128372
TRIPURA,2014,69474
UTTAR PRADESH,2014,42267
UTTARAKHAND,2014,135881
WEST BENGAL,2014,68876
ANDAMAN AND NICOBAR ISLANDS,2015,126995
ANDHRA PRADESH,2015,108002
ARUNACHAL PRADESH,2015,112046
ASSAM,2015,60817
BIHAR,2015,30404
CHANDIGARH,2015,230417
CHHATTISGARH,2015,73590
DELHI,2015,328985
GOA,2015,334575
GUJARAT,2015,139254
HARYANA,2015,164963
HIMACHAL PRADESH,2015,135512
JAMMU AND KASHMIR,2015,73215
JHARKHAND,2015,52754
KARNATAKA,2015,148108
KERALA,2015,148133
MADHYA PRADESH,2015,62626
MAHARASHTRA,2015,146258
MANIPUR,2015,55447
MEGHALAYA,2015,68836
MIZORAM,2015,114055
NAGALAND,2015,82466
ODISHA,2015,64595
PUDUCHERRY,2015,172727
PUNJAB,2015,118558
RAJASTHAN,2015,83426
SIKKIM,2015,245987
TAMIL NADU,2015,140840
TELANGANA,2015,140441
TRIPURA,2015,83680
UTTAR PRADESH,2015,47118
UTTARAKHAND,2015,147592
WEST BENGAL,2015,75592
ANDAMAN AND NICOBAR ISLANDS,2016,140335
ANDHRA PRADESH,2016,120676
ARUNACHAL PRADESH,2016,117344
ASSAM,2016,66330
BIHAR,2016,34156
CHANDIGARH,2016,254263
CHHATTISGARH,2016,81808
DELHI,2016,298832
GOA,2016,382140
GUJARAT,2016,156295
HARYANA,2016,185050
HIMACHAL PRADESH,2016,150290
JAMMU AND KASHMIR,2016,77023
JHARKHAND,2016,60018
KARNATAKA,2016,170133
KERALA,2016,166205
MADHYA PRADESH,2016,74787
MAHARASHTRA,2016,16005
MANIPUR,2016,59345
MEGHALAYA,2016,73753
MIZORAM,2016,127107
NAGALAND,2016,92315
ODISHA,2016,77255
PUDUCHERRY,2016,187357
PUNJAB,2016,128780
RAJASTHAN,2016,91946
SIKKIM,2016,280729
TAMIL NADU,2016,159395
TELANGANA,2016,154272
TRIPURA,2016,90827
UTTAR PRADESH,2016,52744
UTTARAKHAND,2016,161172
WEST BENGAL,2016,82291
ANDAMAN AND NICOBAR ISLANDS,2017,159664
ANDHRA PRADESH,2017,139680
ARUNACHAL PRADESH,2017,130197
ASSAM,2017,74184
BIHAR,2017,38631
CHANDIGARH,2017,296434
CHHATTISGARH,2017,89813
DELHI,2017,328985
GOA,2017,422155
GUJARAT,2017,173079
HARYANA,2017,211526
HIMACHAL PRADESH,2017,167044
JAMMU AND KASHMIR,2017,82710
JHARKHAND,2017,69265
KARNATAKA,2017,187649
KERALA,2017,183435
MADHYA PRADESH,2017,82941
MAHARASHTRA,2017,176102
MANIPUR,2017,65008
MEGHALAYA,2017,81098
MIZORAM,2017,146765
NAGALAND,2017,104681
ODISHA,2017,84496
PUDUCHERRY,2017,203583
PUNJAB,2017,142477
RAJASTHAN,2017,99366
SIKKIM,2017,317134
TAMIL NADU,2017,180494
TELANGANA,2017,171583
TRIPURA,2017,100477
UTTAR PRADESH,2017,58821
UTTARAKHAND,2017,182320
WEST BENGAL,2017,93711
ANDAMAN AND NICOBAR ISLANDS,2018,223377
ANDHRA PRADESH,2018,151173
ARUNACHAL PRADESH,2018,139588
ASSAM,2018,82078
BIHAR,2018,43822
CHANDIGARH,2018,329209
CHHATTISGARH,2018,96887
DELHI,2018,365529
GOA,2018,458304
GUJARAT,2018,197447
HARYANA,2018,236147
HIMACHAL PRADESH,2018,179188
JAMMU AND KASHMIR,2018,91882
JHARKHAND,2018,76019
KARNATAKA,2018,210887
KERALA,2018,204105
MADHYA PRADESH,2018,90998
MAHARASHTRA,2018,191736
MANIPUR,2018,69978
MEGHALAYA,2018,89024
MIZORAM,2018,168626
NAGALAND,2018,116882
ODISHA,2018,95164
PUDUCHERRY,2018,220461
PUNJAB,2018,154996
RAJASTHAN,2018,110606
SIKKIM,2018,357643
TAMIL NADU,2018,204488
TELANGANA,2018,193750
TRIPURA,2018,113102
UTTAR PRADESH,2018,66512
UTTARAKHAND,2018,198738
WEST BENGAL,2018,109491
ANDAMAN AND NICOBAR ISLANDS,2020,197275
ANDHRA PRADESH,2020,163746
ARUNACHAL PRADESH,2020,190212
ASSAM,2020,90482
BIHAR,2020,43605
CHANDIGARH,2020,291194
CHHATTISGARH,2020,104788
DELHI,2020,331112
GOA,2020,431351
GUJARAT,2020,212821
HARYANA,2020,229065
HIMACHAL PRADESH,2020,183333
JAMMU AND KASHMIR,2020,102803
JHARKHAND,2020,71071
KARNATAKA,2020,221310
KERALA,2020,194322
MADHYA PRADESH,2020,103654
MAHARASHTRA,2020,183704
MANIPUR,2020,79797
MEGHALAYA,2020,84638
MIZORAM,2020,187838
NAGALAND,2020,126452
ODISHA,2020,102166
PUDUCHERRY,2020,203178
PUNJAB,2020,149193
RAJASTHAN,2020,115122
SIKKIM,2020,412754
TAMIL NADU,2020,212174
TELANGANA,2020,225687
TRIPURA,2020,119789
UTTAR PRADESH,2020,61374
UTTARAKHAND,2020,184002
WEST BENGAL,2020,106510
ANDAMAN AND NICOBAR ISLANDS,2021,205368
ANDHRA PRADESH,2021,192587
ARUNACHAL PRADESH,2021,215897
ASSAM,2021,102965
BIHAR,2021,49470
CHANDIGARH,2021,349373
CHHATTISGARH,2021,120704
DELHI,2021,389529
GOA,2021,472070
GUJARAT,2021,250100
HARYANA,2021,264835
HIMACHAL PRADESH,2021,201854
JAMMU AND KASHMIR,2021,116619
JHARKHAND,2021,78660
KARNATAKA,2021,265623
KERALA,2021,228767
MADHYA PRADESH,2021,121594
MAHARASHTRA,2021,215233
MANIPUR,2021,84345
MEGHALAYA,2021,90638
MIZORAM,2021,188839
NAGALAND,2021,142363
ODISHA,2021,128873
PUDUCHERRY,2021,209890
PUNJAB,2021,161888
RAJASTHAN,2021,135962
SIKKIM,2021,472543
TAMIL NADU,2021,241131
TELANGANA,2021,265942
TRIPURA,2021,140803
UTTAR PRADESH,2021,70792
UTTARAKHAND,2021,211657
WEST BENGAL,2021,124798
ANDAMAN AND NICOBAR ISLANDS,2022,229079
ANDHRA PRADESH,2022,219518
ARUNACHAL PRADESH,2022,205645
ASSAM,2022,118504
BIHAR,2022,596370
CHANDIGARH,2022,333932
CHHATTISGARH,2022,133898
DELHI,2022,444768
GOA,2022,472000
GUJARAT,2022,241930
HARYANA,2022,296685
HIMACHAL PRADESH,2022,232128
JAMMU AND KASHMIR,2022,132806
JHARKHAND,2022,84059
KARNATAKA,2022,301673
KERALA,2022,236093
MADHYA PRADESH,2022,140583
MAHARASHTRA,2022,242247
MANIPUR,2022,91559
MEGHALAYA,2022,98572
MIZORAM,2022,198000
NAGALAND,2022,125887
ODISHA,2022,150676
PUDUCHERRY,2022,251000
PUNJAB,2022,173873
RAJASTHAN,2022,156149
SIKKIM,2022,541544
TAMIL NADU,2022,273288
TELANGANA,2022,308732
TRIPURA,2022,158382
UTTAR PRADESH,2022,73048
UTTARAKHAND,2022,233565
WEST BENGAL,2022,157254
